Product Name,Belt Type,Style,Type,Sub-Group,Pitch,Width,Technical Data Thickness Inches,Rod Type,Rod Diameter Inches,Rod Hinge,Idle Roller Minimum Inch,Accessories Standard,Accessories Saniclip,Installation flyer standard,Installation flyer special,Installation flyer sprockets,Producing Unit,Portfolio Manager
M2470 Flat Top MTW,M2470 MTW Flat Top,Flat Top,Straight,"1.0"" M2400 Belt type (straight belts)","1.0""",,0.34,Smart Fit,0.18,Closed hinge,2.5,,,"M24XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M24XX_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2472 Perforated Flat Top,M2472 Perforated Flat Top,Perforated Flat Top,Straight,"1.0"" M2400 Belt type (straight belts)","1.0""","Standard belt widths in increments of 76.2 mm (3""). Non-standard widths are offered in increments of 15.24 mm (0.6""). Smallest possible width 76.2 mm (3"").",0.34,Headless Smart Fit,0.18,Closed hinge,2,,,"M24XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M24XX_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
M2480 ActivXchange,M2480 ActivXchange,ActivXchange,Straight,"1.0"" M2400 Belt type (straight belts)","1.0""",,0.34,Headless Smart Fit,0.18,Closed hinge,2.5,,,"M24XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M24XX_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2480 Flush Grid,M2480 Flush Grid,Flush Grid,Straight,"1.0"" M2400 Belt type (straight belts)","1.0""","Standard belt widths in increments of 76.2 mm (3""). Non-standard widths are offered in increments of 15.24 mm (0.6""). Smallest possible width 76.2 mm (3"").",0.34,Headless Smart Fit,0.18,Closed hinge,2,,,"M24XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M24XX_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
IS610-R,IS610-R Radius Flush Grid,Radius Flush Grid,Radius,"1.0"" RS Radius IS610/IS610GT/CT610","1.0""","Standard range of belt widths in increments of 3"" (76.2mm) starting from 6"" (152.4mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.38,Snap Fit,0.16,Closed hinge,1.6,,"IS_CT610 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_IS_CT610_Saniclip.pdf"">PDF </a>","IS610_CT610 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/IS610_CT610_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
M2423 Non Slip,M2423 Non Slip,Non Slip,Straight,"1.0"" M2400 Belt type (straight belts)","1.0""","Standard belt widths in increments of 85 mm (3.35""). Non-standard widths are offered in increments of 17 mm (0.67""). Smallest possible width 85 mm (3.35"").",0.39,Headless Smart Fit,0.18,Closed hinge,2,,,"M24XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M24XX_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2520 Flat Top,M2520 Flat Top,Flat Top,Straight,"1.0"" M2500 Belt type (straight belts)","1.0""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 83.4 mm (3.25""). Non-bricklayed belts 50 mm (2"") and 100 mm (4"") wide.",0.39,Snap Fit,0.2,Closed hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>",,"M252X-3X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M252X-3X_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2533 Flush Grid,M2533 Flush Grid,Flush Grid,Straight,"1.0"" M2500 Belt type (straight belts)","1.0""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 83.4 mm (3.25"").",0.39,Snap Fit,0.2,Open hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>","M251X <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M251X_Saniclip.pdf"">PDF </a>","M252X-3X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M252X-3X_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2533 Flush Grid HR,M2533 Flush Grid HR,Flush Grid HR,Straight,"1.0"" M2500 Belt type (straight belts)","1.0""",,0.39,Smart Fit,0.2,Open hinge,2,,,,,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2533 Flush Grid MTW,M2533 MTW Flush Grid,Flush Grid,Straight,"1.0"" M2500 Belt type (straight belts)","1.0""",,0.39,Snap Fit,0.2,Open hinge,2,,,,,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
HDS610 FT,HDS610FT Flat Top,Flat Top,Straight,"1.0"" RS Straight HDS610","1.0""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 6"" (152.4mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.41,Snap Fit,0.19,Closed hinge,1.6,,,"TT605_HDS605_HDS610_CVT610 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/TT605_HDS605_HDS610_CVT610_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
ST610,ST610 Flat Top,Flat Top,Straight,"1.0"" RS Straight ST610/VT610","1.0""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 6"" (152.4mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.41,Snap Fit,0.19,Closed hinge,1.6,,,"ST_VT610 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/ST_VT610_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
VT610,VT610 Vented Top,Vented Top,Straight,"1.0"" RS Straight ST610/VT610","1.0""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 6"" (152.4mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.41,Snap Fit,0.19,Closed hinge,1.6,,,"ST_VT610 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/ST_VT610_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
M2510 Flat Top,M2510 Flat Top,Flat Top,Straight,"1.0"" M2500 Belt type (straight belts)","1.0""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 83.4 mm (3.25""). Non-bricklayed belts 50 mm (2"") and 100 mm (4"") wide.",0.43,Snap Fit,0.2,Dynamic open hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>","M251X <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M251X_Saniclip.pdf"">PDF </a>","M251X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M251X_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2511 Mesh Top,M2511 Mesh Top,Mesh Top,Straight,"1.0"" M2500 Belt type (straight belts)","1.0""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 83.4 mm (3.25""). Non-bricklayed belts 50 mm (2"") and 100 mm (4"") wide.",0.43,Snap Fit,0.2,Dynamic open hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>","M251X <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M251X_Saniclip.pdf"">PDF </a>","M251X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M251X_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2516 Diamond Top,M2516 Diamond Top,Diamond Top,Straight,"1.0"" M2500 Belt type (straight belts)","1.0""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66”). Smallest possible width 83.4 mm (3.25""). Non-bricklayed belts 200 mm (8”) wide.",0.43,Snap Fit,0.2,Dynamic open hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>","M251X <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M251X_Saniclip.pdf"">PDF </a>","M251X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M251X_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2540 Radius Flush Grid,M2540 Radius Flush Grid,Radius Flush Grid,Radius,"1.0"" M2500 Belt type (radius belts)","1.0""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 83.4 mm (3.25"").",0.43,Snap Fit,0.2,Open hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>","M2540 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M2540_Saniclip.pdf"">PDF </a>","M254X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M254X_en.pdf"">PDF </a>","M2540_Saniclip <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M2540_Saniclip_en.pdf"">PDF </a>",,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2540 Radius Flush Grid MTW,M2540 MTW Radius Flush Grid,Radius Flush Grid,Radius,"1.0"" M2500 Belt type (radius belts)","1.0""","Standard belt widths: The belt is produced as mold to width belt 12"" (306 mm) Non-standard belt widths: M2540 MTW can also be used as bricklayed in 50 mm (2"") increments. Non-standard widths are offered in increments of 16.66 mm (0.66"").",0.43,Snap Fit,0.2,Open hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>",,"M254X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M254X_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2540 Radius GripTop,M2540 Radius GripTop,Radius GripTop,Radius,"1.0"" M2500 Belt type (radius belts)","1.0""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 150 mm (5.9"").",0.43,Snap Fit,0.2,Open hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>",,"M254X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M254X_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2585 Flush Grid,M2585 Flush Grid,Flush Grid,Straight,"1.0"" M2500 Belt type special case (straight belts)","1.0""","Standard belt widths in increments of 202.8 mm (7.98""). Non-standard widths are offered in increments of 33.8 mm (1.33""). Smallest possible width 202.8 mm (7.98"").",0.43,Smart Fit,0.2,Open hinge,2,,,"M258X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M258X_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2960 Super HyClean MTW,M2960 MTW Super HyCLEAN,Super HyCLEAN,Straight,"1.0"" M2960 Super HyCLEAN","1.0""",For detailed material properties refer to the HabasitLINK® Engineering Guidelines.,0.43,Headless Smart Fit,0.18,Dynamic open hinge,,,"M2960 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M2960_Saniclip.pdf"">PDF </a>","M2960 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M2960_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2470 GripTop,M2470 GripTop,GripTop,Straight,"1.0"" M2400 Belt type (straight belts)","1.0""","Standard belt widths in increments of 76.2 mm (3""). Non-standard widths are offered in increments of 15.24 mm (0.6""). Smallest possible width 76.2 mm (3"").",0.44,Headless Smart Fit,0.18,Closed hinge,2,,,"M24XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M24XX_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
CT610-R,CT610-R Radius Curved Top,Radius Curved Top,Radius,"1.0"" RS Radius IS610/IS610GT/CT610","1.0""","Standard range of belt widths in increments of 3"" (76.2mm) starting from 6"" (152.4mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.47,Snap Fit,0.16,Closed hinge,1.6,,"IS_CT610 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_IS_CT610_Saniclip.pdf"">PDF </a>","IS610_CT610 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/IS610_CT610_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
HDS610 CVT,HDS610CVT Curved Vented Top,Curved Vented Top,Straight,"1.0"" RS Straight HDS610","1.0""","Standard range of belt widths in increments of 3"" (76.2mm) starting from 6"" (152.4mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.48,Snap Fit,0.19,Closed hinge,1.6,,,"TT605_HDS605_HDS610_CVT610 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/TT605_HDS605_HDS610_CVT610_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
M2620 Flat Top Heavy Duty,M2620 Flat Top Heavy Duty,Flat Top Heavy Duty,Straight,"1.0"" M2600 Belt type (straight belts)","1.0""","Standard belt widths in increments of 85 mm (3.35""). Non-standard widths are offered in increments of 17 mm (0.67""). Smallest possible width 85 mm (3.35"").",0.49,Smart Fit,0.22,Closed hinge,2,,,"M26XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M26XX_en.pdf"">PDF </a>",,"Multihubsprockets <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/Multihubsprockets_en.pdf"">PDF </a>",Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2670_ActivXchange,M2670 ActivXchange,ActivXchange,Straight,"1.0"" M2600 Belt type (straight belts)","1.0""",,0.49,Smart Fit,0.22,Closed hinge,2,,,"M26XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M26XX_en.pdf"">PDF </a>",,"Multihubsprockets <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/Multihubsprockets_en.pdf"">PDF </a>",Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2483 Sphere Top,M2483 Sphere Top,Sphere Top,Straight,"1.0"" M2400 Belt type (straight belts)","1.0""","Standard belt widths in increments of 76.2 mm (3""). Non-standard widths are offered in increments of 25.4 mm (1""). Smallest possible width 76.2 mm (3"").",0.5,Plugs with Floaters,0.12,Closed hinge,2,,,,,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2544 Tight Radius,M2544 Tight Radius,Tight Radius,Radius,"1.0"" M2500 Belt type (radius belts)","1.0""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 200 mm (7.9"").",0.5,Snap Fit,0.2,Open hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>",,"M254X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M254X_en.pdf"">PDF </a>","M2544_Plugs <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M2544_Plugs_en.pdf"">PDF </a>",,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2544 Tight Radius MTW,M2544 MTW Tight Radius,Tight Radius,Radius,"1.0"" M2500 Belt type (radius belts)","1.0""",,0.5,Snap Fit,0.2,Closed hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>",,,,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2626 Diamond Top Heavy Duty,M2626 Diamond Top Heavy Duty,Diamond Top Heavy Duty,Straight,"1.0"" M2600 Belt type (straight belts)","1.0""","Standard belt widths in increments of 85 mm (3.35""). Non-standard widths are offered in increments of 17 mm (0.67""). Smallest possible width 85 mm (3.35"").",0.5,Smart Fit,0.22,Closed hinge,2,,,"M26XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M26XX_en.pdf"">PDF </a>",,"Multihubsprockets <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/Multihubsprockets_en.pdf"">PDF </a>",Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2670 Flat Top Heavy Duty,M2670 Flat Top Heavy Duty,Flat Top Heavy Duty,Straight,"1.0"" M2600 Belt type (straight belts)","1.0""","Standard belt widths in increments of 2.0"" (50.8 mm). Non-standard widths are offered in increments of 1.0"" (25.4 mm). Smallest possible width 6.0"" (152.4 mm).",0.5,Smart Fit,0.22,Closed hinge,2,,,"M26XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M26XX_en.pdf"">PDF </a>",,"Multihubsprockets <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/Multihubsprockets_en.pdf"">PDF </a>",Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2670 Flat Top Heavy Duty MTW,M2670 MTW Flat Top Heavy Duty,Flat Top Heavy Duty,Straight,"1.0"" M2600 Belt type (straight belts)","1.0""",,0.5,Smart Fit,0.22,Closed hinge,2,,,"M26XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M26XX_en.pdf"">PDF </a>",,"Multihubsprockets <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/Multihubsprockets_en.pdf"">PDF </a>",Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2791 Radius Flush Grid MTW,M2791 MTW Radius Flush Grid,Radius Flush Grid,Radius,"1.0"" M2700 Belt type (radius belts)","1.0""",,0.5,Headless Smart Fit,0.18,Open hinge,2,,,,,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
MB610,MB610 Flat Top,Flat Top,Straight,"1.0"" RS Straight MB610","1.0""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 6"" (152.4mm). Material selection may affect belt width — please contact your local partner for actual dimensions.",0.5,Snap Fit,0.25,Closed hinge,1.6,,,,,,Habasit America (Leesport),Jeff Delair
MB610 MTW,MB610MTW Flat Top,Flat Top,Straight,"1.0"" RS Straight MB610","1.0""",Material selection may affect belt width — please contact your local partner for actual dimensions,0.5,Snap Fit,0.25,Closed hinge,1.6,,,,,,Habasit America (Leesport),Jeff Delair
IS610 GT,IS610-G Radius GripTop,Radius GripTop,Radius,"1.0"" RS Radius IS610/IS610GT/CT610","1.0""","Standard range of belt widths in increments of 3"" (76.2mm) starting from 6"" (152.4mm). Material selection may affect belt width — please contact your local partner for actual dimensions.",0.51,Snap Fit,0.16,Open hinge,1.6,,"IS_CT610 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_IS_CT610_Saniclip.pdf"">PDF </a>","IS610_CT610 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/IS610_CT610_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
M2514 Nub Top,M2514 Nub Top,Nub Top,Straight,"1.0"" M2500 Belt type (straight belts)","1.0""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Min. width: 200 mm (8"")",0.51,Snap Fit,0.2,Open hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>","M251X <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M251X_Saniclip.pdf"">PDF </a>","M251X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M251X_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
208 RR,208 RR Raised Rib,Raised Rib,Straight,"1.0"" RS Straight 208","1.0""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 3"" (76.2mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.54,Snap Fit,0.19,Closed hinge,1.6,,,"106_208 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/106_208_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
M2623 Non Slip,M2623 Non Slip,Non Slip,Straight,"1.0"" M2600 Belt type (straight belts)","1.0""","Standard belt widths in increments of 85 mm (3.35""). Non-standard widths are offered in increments of 17 mm (0.67""). Smallest possible width 85 mm (3.35"").",0.55,Smart Fit,0.22,Closed hinge,2,,,"M26XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M26XX_en.pdf"">PDF </a>",,"Multihubsprockets <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/Multihubsprockets_en.pdf"">PDF </a>",Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2533 GripTop,M2533 GripTop,GripTop,Straight,"1.0"" M2500 Belt type (straight belts)","1.0""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""), minimum indent 33.3 mm (1.5"").",0.55,Snap Fit,0.2,Open hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>",,"M252X-3X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M252X-3X_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M2527 Minirib,M2527 Minirib,Minirib,Straight,"1.0"" M2500 Belt type (straight belts)","1.0""","Standard belt widths in increments of 100 mm (4""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 150 mm (6"").",0.58,Snap Fit,0.2,Closed hinge,2,"M2500 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M2500_Accessories_en.pdf"">PDF </a>",,"M252X-3X <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M252X-3X_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
